location,total_sqft,bath,price,bhk,encoded_loc
Mallasandra,1325.0,2,65.0,2,162
Hoodi,1370.0,3,67.0,3,100
Others,1409.0,2,62.0,3,184
Bellandur,1200.0,2,52.0,2,44
Thanisandra,1200.0,2,53.5,2,219
Whitefield,1740.0,4,130.0,3,235
Hennur Road,1232.0,2,88.0,2,99
Chandapura,1200.0,2,36.0,2,59
Others,1250.0,2,50.0,2,184
Bommanahalli,2100.0,4,85.0,4,51
5th Phase JP Nagar,552.0,1,23.5,1,6
Uttarahalli,1065.0,2,42.59,3,226
Others,1225.0,2,65.0,2,184
Padmanabhanagar,1067.0,2,52.0,2,185
Sarjapur,1364.0,2,56.0,3,203
Others,1750.0,3,75.0,3,184
Bannerghatta Road,1240.0,2,71.0,2,38
Hulimavu,1200.0,2,75.0,2,108
Kaggadasapura,1540.0,3,75.0,3,122
Others,1504.0,2,102.0,3,184
Others,1116.0,2,49.8,2,184
Hennur Road,2365.0,4,175.0,3,99
Vijayanagar,864.0,2,45.0,2,231
Hoskote,1069.0,2,38.0,3,106
Hebbal,1333.0,2,100.0,2,95
Others,1800.0,4,145.0,4,184
Thanisandra,1698.0,3,107.0,3,219
JP Nagar,1275.0,2,43.6,3,113
Raja Rajeshwari Nagar,1060.0,2,48.0,2,194
Hennur,1160.0,2,49.0,2,98
Sarjapur  Road,1484.0,2,65.0,3,204
Hennur Road,1310.0,2,66.0,2,99
Varthur,2145.0,3,165.0,3,227
Jigani,1230.0,3,60.0,3,117
Bommasandra Industrial Area,1310.0,2,37.83,3,53
Others,1150.0,2,60.0,2,184
Munnekollal,1385.0,2,66.5,3,169
Tumkur Road,1066.0,2,52.5,2,224
Thanisandra,2293.0,3,80.26,3,219
Others,1625.0,3,92.0,3,184
Raja Rajeshwari Nagar,3900.0,6,195.0,6,194
7th Phase JP Nagar,1000.0,2,70.65,2,8
Nagavarapalya,907.0,2,38.0,2,177
Ulsoor,3500.0,4,138.0,4,225
Varthur,1395.0,2,79.0,3,227
Others,1180.0,2,50.0,2,184
Banaswadi,1903.0,6,140.0,5,35
Electronic City,1175.0,2,47.0,2,77
Others,1272.0,2,51.5,2,184
Others,1490.0,2,92.0,3,184
Yeshwanthpur,1144.0,2,67.0,2,240
Others,2400.0,5,140.0,4,184
Hormavu,1143.0,2,53.0,2,103
Karuna Nagar,2500.0,3,190.0,3,133
Others,1044.0,2,60.0,2,184
Prithvi Layout,1352.0,3,93.0,2,191
Hennur Road,1552.0,3,75.0,3,99
Bellandur,1785.0,3,120.0,3,44
Pai Layout,810.0,2,34.5,2,186
Banashankari Stage V,1650.0,3,51.98,3,33
Others,1595.0,3,70.39,3,184
Whitefield,1060.0,2,35.0,2,235
Babusapalaya,1410.0,2,65.0,3,27
Nagarbhavi,1523.0,2,56.0,3,174
Kanakpura Road,1591.0,3,122.0,3,131
Others,1640.0,3,84.0,3,184
Yelahanka New Town,450.0,1,16.0,1,238
Bannerghatta Road,1305.0,2,60.0,3,38
Yelahanka,1590.0,3,54.0,3,237
Kaggadasapura,1240.0,2,45.0,2,122
Dodda Nekkundi,1100.0,2,41.16,2,70
Channasandra,1310.0,2,45.0,3,60
Others,959.0,2,42.5,2,184
Yelahanka,1390.0,2,70.21,2,237
Hulimavu,1572.0,2,46.0,2,108
Kenchenahalli,1280.0,2,69.0,3,138
Kasturi Nagar,1000.0,2,58.0,2,135
Marathahalli,1196.0,2,57.9,2,165
Sarjapur  Road,1220.0,3,57.0,3,204
Ambalipura,950.0,2,31.95,2,14
Others,1141.0,2,55.0,2,184
5th Phase JP Nagar,1200.0,2,51.0,2,6
Kasavanhalli,1380.0,2,55.0,3,134
Doddathoguru,855.0,2,32.0,2,73
Chandapura,922.0,2,36.0,2,59
Others,1200.0,2,43.2,2,184
7th Phase JP Nagar,1070.0,2,42.0,2,8
Others,1293.0,2,75.0,2,184
R.T. Nagar,1380.0,2,50.0,3,192
Yelahanka New Town,1599.0,3,80.0,3,238
Nehru Nagar,967.0,2,41.1,2,180
Others,1885.0,3,90.0,3,184
Others,860.0,2,65.5,2,184
Sarjapur  Road,1050.0,2,63.5,2,204
Marathahalli,1595.0,3,88.0,3,165
Sarjapur  Road,1350.0,2,102.0,2,204
Hebbal,1204.0,2,45.0,2,95
Sarjapur  Road,2990.0,4,240.0,4,204
Sarjapur  Road,1035.0,2,49.0,2,204
ITPL,1000.0,2,29.95,2,110
Sarjapur  Road,1457.0,3,85.0,3,204
Bannerghatta,1100.0,2,66.0,2,37
Whitefield,1655.0,3,120.0,3,235
Kanakpura Road,1691.2,3,115.0,3,131
Ramagondanahalli,1215.0,2,46.1,2,197
Kanakpura Road,1660.0,2,50.125,2,131
Hoodi,1639.0,3,129.0,3,100
Sarjapur  Road,1685.0,3,135.0,3,204
Hormavu,1100.0,2,38.0,2,103
Marathahalli,2122.0,3,125.0,3,165
Vasanthapura,1050.0,2,47.0,2,229
Kengeri,1230.0,2,45.0,2,139
5th Phase JP Nagar,1240.0,3,60.0,3,6
Electronic City Phase II,1252.0,2,65.0,3,78
Others,1374.0,2,88.0,3,184
8th Phase JP Nagar,500.0,1,30.0,1,9
Banashankari,1040.0,2,45.0,2,30
Sarjapur  Road,1350.0,2,68.0,2,204
Hennur,2400.0,3,135.0,3,98
Haralur Road,1560.0,3,90.0,3,93
Anandapura,1151.0,2,43.16,2,17
Uttarahalli,1360.0,2,47.59,3,226
Hennur Road,1015.0,2,50.0,2,99
Kadugodi,1351.0,2,78.0,3,121
Yelahanka New Town,960.0,2,50.0,2,238
Others,1110.0,2,52.0,2,184
R.T. Nagar,1680.0,3,72.0,3,192
Arekere,2400.0,3,180.0,3,22
Others,1350.0,3,48.6,3,184
Horamavu Banaswadi,1254.0,2,47.0,2,102
CV Raman Nagar,1051.0,2,61.0,2,57
Uttarahalli,1099.0,2,65.0,2,226
Hebbal,2650.0,4,199.0,3,95
Others,2000.0,2,160.0,4,184
Whitefield,1125.0,2,45.0,2,235
Vittasandra,1650.0,3,85.0,3,234
Others,834.0,1,62.0,1,184
Gollarapalya Hosahalli,1320.0,3,60.0,3,84
Mysore Road,1500.0,3,74.0,3,171
Kanakpura Road,1572.0,1,125.0,1,131
Whitefield,1180.0,2,70.0,2,235
Kadugodi,1010.0,2,50.0,2,121
Channasandra,1070.0,2,38.0,2,60
Choodasandra,1580.0,3,105.0,3,64
Sanjay nagar,1200.0,2,76.0,3,201
Kalena Agrahara,1040.0,2,45.0,2,125
Hulimavu,1430.0,2,90.0,3,108
Thanisandra,1564.0,3,105.0,3,219
Hormavu,750.0,2,58.0,2,103
Kasavanhalli,1200.0,2,60.0,2,134
Begur Road,1200.0,2,44.4,2,43
Others,2000.0,4,135.0,4,184
Yelahanka,1650.0,3,105.0,3,237
Yelahanka,1200.0,2,55.0,2,237
Kengeri Satellite Town,985.0,2,42.0,2,140
Ramagondanahalli,1475.0,2,63.0,3,197
Sarjapur  Road,1157.0,2,53.99,3,204
Others,900.0,2,35.0,2,184
Gottigere,2500.0,3,120.0,4,85
GM Palaya,1030.0,2,60.0,2,81
Others,1000.0,2,46.0,2,184
Kasavanhalli,4260.0,4,333.0,4,134
Kudlu,1570.0,2,65.94,3,151
Kanakapura,1283.0,2,68.0,2,130
Others,1200.0,2,52.0,2,184
Konanakunte,2400.0,2,180.0,3,147
Yelahanka,990.0,2,37.62,2,237
Others,1280.0,2,90.0,2,184
Others,1190.0,2,55.0,2,184
Yelachenahalli,1100.0,2,60.0,2,236
Harlur,1133.0,2,55.0,2,94
Somasundara Palya,2400.0,3,140.0,4,212
Whitefield,1280.0,2,69.0,2,235
Horamavu Agara,1250.0,3,65.0,3,101
Begur Road,1565.0,2,49.3,3,43
Others,1900.0,3,65.0,3,184
Munnekollal,1080.0,2,45.0,2,169
Battarahalli,600.0,1,47.0,1,41
HRBR Layout,1335.0,2,87.0,3,91
JP Nagar,5048.0,2,237.5,3,113
Sarjapur  Road,1385.0,3,55.0,3,204
Others,1578.0,3,73.9,3,184
Sarjapur  Road,1700.0,3,79.9,3,204
Vidyaranyapura,1120.0,2,70.0,2,230
Electronic City,435.0,1,22.0,1,77
Magadi Road,1116.0,2,51.89,2,159
Old Madras Road,1480.0,3,95.0,3,183
Hormavu,1000.0,2,50.0,2,103
HSR Layout,1145.0,2,46.0,2,92
Bommasandra,800.0,1,32.0,2,52
Thanisandra,1265.0,2,83.0,2,219
Devanahalli,2425.0,3,88.2,3,69
Others,1475.0,2,70.0,2,184
BTM 2nd Stage,1265.0,2,55.0,2,25
Brookefield,1080.0,2,50.0,2,55
Whitefield,2023.0,4,130.0,3,235
Others,2400.0,2,125.0,2,184
Kadubeesanahalli,1545.0,2,66.0,3,120
6th Phase JP Nagar,1350.0,2,58.0,3,7
Hoodi,1108.0,2,74.23,2,100
Marathahalli,1730.0,3,115.0,3,165
Others,1427.0,2,70.0,3,184
Yelahanka,935.0,2,35.53,2,237
Sarjapura - Attibele Road,1073.0,2,31.77,2,205
Ananth Nagar,960.0,2,37.0,2,18
Thigalarapalya,2215.0,4,150.0,3,220
Electronic City Phase II,1125.0,2,32.49,2,78
Brookefield,1230.0,2,55.0,2,55
Mahadevpura,1438.0,2,89.0,2,160
7th Phase JP Nagar,1080.0,2,75.0,2,8
Uttarahalli,1590.0,3,58.0,3,226
Others,1350.0,3,68.0,3,184
Raja Rajeshwari Nagar,1400.0,2,48.0,3,194
Kaggadasapura,1560.0,2,72.0,3,122
Mallasandra,1810.0,3,57.0,4,162
Others,2274.24,4,160.0,3,184
Sonnenahalli,1484.0,3,74.18,3,214
Thanisandra,2280.0,4,184.0,3,219
Bharathi Nagar,1351.0,2,74.0,2,46
Kanakpura Road,1223.0,2,42.81,3,131
KR Puram,1430.0,2,61.0,3,119
Sarjapur  Road,984.0,2,55.0,2,204
Jalahalli,1770.0,3,100.0,3,115
Margondanahalli,1140.0,2,60.0,2,166
Bommanahalli,1170.0,2,34.0,2,51
Others,1570.0,3,80.0,3,184
Others,1495.0,2,65.0,3,184
Hoodi,1530.0,2,67.0,3,100
Gunjur,1800.0,3,70.0,3,88
Bellandur,1088.0,2,48.0,2,44
Hosa Road,1533.0,3,98.18,3,104
Rachenahalli,1100.0,2,68.0,2,193
Thubarahalli,1540.0,3,90.0,3,221
Hebbal,1244.0,3,48.0,2,95
Hosa Road,1040.0,2,68.59,2,104
Begur Road,1260.0,2,39.69,2,43
Thigalarapalya,1245.0,2,100.0,2,220
Others,1350.0,3,75.0,3,184
Vijayanagar,920.0,2,60.0,2,231
Others,2300.0,7,160.0,6,184
Yelahanka New Town,2095.0,3,109.0,4,238
Begur Road,1100.0,2,71.42,2,43
Vijayanagar,1019.0,2,58.0,2,231
Harlur,1756.0,3,128.0,3,94
Bommasandra,1280.0,3,50.0,3,52
Whitefield,2134.0,4,118.0,3,235
Hosa Road,1369.1,2,98.0,2,104
Others,2515.0,4,155.0,3,184
Thigalarapalya,2215.0,4,154.0,3,220
Others,1440.0,3,72.0,3,184
Hennur Road,1186.0,2,55.33,3,99
Hebbal,1800.0,3,140.0,3,95
Kudlu,1600.0,3,79.0,3,151
GM Palaya,1000.0,2,35.0,2,81
Kambipura,1082.0,2,45.5,3,127
Nagarbhavi,1050.0,2,80.0,2,174
Others,1200.0,2,56.0,2,184
Begur,3500.0,4,185.0,3,42
Dasarahalli,1220.0,2,52.0,2,68
Kanakapura,2130.0,4,120.0,4,130
Harlur,1749.0,3,120.0,3,94
Doddaballapur,1572.0,2,48.0,3,71
Others,1670.0,3,75.0,3,184
Hennur Road,2264.0,3,168.0,3,99
Begur,1100.0,2,55.0,2,42
Chandapura,674.0,1,19.9,2,59
Electronics City Phase 1,1125.0,2,65.0,2,79
Nagavara,1125.0,2,44.5,2,176
Others,700.0,2,29.0,2,184
BTM Layout,1300.0,2,75.0,3,26
JP Nagar,1600.0,3,83.0,3,113
Magadi Road,1052.0,2,60.0,3,159
 Devarachikkanahalli,1130.0,2,36.0,2,0
Electronic City,1500.0,2,63.0,3,77
Gottigere,1230.0,2,52.0,3,85
Haralur Road,1520.0,2,85.0,3,93
Kanakpura Road,525.0,1,26.25,1,131
Hosa Road,1040.0,2,61.0,2,104
Others,1300.0,2,67.0,3,184
Old Airport Road,2690.0,4,201.0,4,182
Panathur,1140.0,2,51.2,2,187
Nagavarapalya,646.0,1,25.84,1,177
Kadugodi,1890.0,4,125.0,3,121
Whitefield,1458.0,2,62.0,3,235
Green Glen Layout,1970.0,3,160.0,3,86
Whitefield,1808.0,4,80.0,3,235
Balagere,1007.0,2,67.0,2,29
Doddathoguru,1105.0,2,50.0,2,73
Raja Rajeshwari Nagar,1170.0,2,50.0,2,194
Chandapura,1080.0,2,45.0,2,59
Kaggalipura,1150.0,2,62.0,3,123
Ramamurthy Nagar,1200.0,2,57.9,2,198
Kudlu Gate,1656.0,3,75.0,3,152
KR Puram,1040.0,2,50.0,2,119
Hosur Road,1085.0,2,33.7,2,107
Others,1215.0,2,49.75,3,184
NRI Layout,2150.0,4,115.0,4,173
Panathur,1210.0,2,77.0,2,187
Others,1050.0,2,55.0,2,184
Malleshpalya,1421.0,2,90.0,2,163
Old Madras Road,1425.0,2,74.31,3,183
Budigere,1162.0,2,58.0,2,56
Whitefield,905.0,1,60.0,1,235
Sarjapur  Road,914.0,2,32.0,2,204
Others,1258.0,2,58.0,2,184
Whitefield,1537.0,2,70.0,3,235
Chikkalasandra,1230.0,2,53.51,3,63
Hosur Road,2000.0,4,69.0,4,107
Indira Nagar,3200.0,3,250.0,4,112
Anjanapura,950.0,2,32.0,2,20
Marathahalli,4000.0,4,200.0,4,165
Yelahanka,1282.0,2,48.72,3,237
Jakkur,1220.0,2,49.0,3,114
7th Phase JP Nagar,1415.0,3,65.0,3,8
Green Glen Layout,1728.0,3,125.0,3,86
Yelahanka,3990.0,4,260.0,4,237
Kasavanhalli,1495.0,2,83.0,2,134
Yeshwanthpur,2501.0,3,138.0,3,240
Kanakpura Road,381.0,1,28.0,1,131
Hennur Road,2002.0,3,120.0,3,99
Others,3200.0,3,260.0,3,184
Banjara Layout,1200.0,2,70.0,2,36
Bommasandra,1942.0,3,90.0,3,52
Others,1450.0,3,90.0,3,184
Electronic City,1039.0,2,50.0,2,77
Old Madras Road,1210.0,2,80.0,2,183
Yelahanka,1620.0,3,90.0,3,237
Hebbal Kempapura,3408.0,3,260.0,3,96
Marathahalli,1314.0,2,55.0,2,165
Bisuvanahalli,945.0,2,33.0,2,50
Nehru Nagar,1374.0,3,72.0,3,180
Kanakpura Road,1603.0,3,113.0,3,131
Kengeri,1230.0,2,52.0,3,139
Others,670.0,1,50.0,1,184
Sarjapur  Road,1864.0,3,105.0,4,204
Hosa Road,2500.0,3,100.0,3,104
Raja Rajeshwari Nagar,1625.0,2,54.0,3,194
Whitefield,1186.0,2,55.0,2,235
Electronic City,770.0,1,39.9,2,77
Varthur,1085.0,2,45.0,2,227
Others,1893.0,3,115.0,3,184
Kundalahalli,1496.0,2,78.0,3,154
Electronics City Phase 1,1550.0,2,82.0,3,79
Marathahalli,1200.0,2,58.17,3,165
Electronic City Phase II,1286.0,2,69.0,2,78
Hebbal,1860.0,3,95.0,3,95
Haralur Road,1243.0,2,45.0,2,93
Brookefield,1200.0,2,75.0,2,55
Sarjapur,1044.0,2,32.0,2,203
7th Phase JP Nagar,1040.0,2,41.59,2,8
8th Phase JP Nagar,1125.0,2,36.94,2,9
Subramanyapura,1278.0,2,59.0,3,215
Others,2400.0,6,98.0,6,184
Others,1250.0,2,43.0,2,184
Vijayanagar,2400.0,6,125.0,5,231
Lakshminarayana Pura,1210.0,2,75.0,2,157
Sarjapur  Road,1157.0,2,57.84,3,204
Raja Rajeshwari Nagar,1185.0,2,51.15,2,194
Kalena Agrahara,1450.0,3,100.0,3,125
Old Madras Road,1859.0,3,121.0,3,183
Ramamurthy Nagar,1305.0,3,60.0,3,198
Thanisandra,1165.5,1,35.285,1,219
Kasavanhalli,5000.0,2,400.0,2,134
Sarjapur  Road,1150.0,2,36.8,2,204
Whitefield,1806.0,3,85.0,3,235
Kudlu,1027.0,2,42.0,2,151
Uttarahalli,1002.0,2,40.08,2,226
Electronic City Phase II,1220.0,2,36.21,3,78
Whitefield,1109.0,2,35.22,2,235
Hennur Road,1232.0,2,69.6,2,99
Kalyan nagar,1250.0,2,65.0,2,126
Raja Rajeshwari Nagar,1255.0,2,53.87,2,194
Akshaya Nagar,1434.0,3,84.0,3,13
Doddathoguru,925.0,2,30.0,2,73
Jakkur,1858.0,3,123.0,3,114
Others,1500.0,3,90.0,3,184
Thanisandra,965.0,2,56.0,2,219
Battarahalli,1636.0,2,82.89,2,41
Whitefield,1216.0,2,67.0,2,235
Yelahanka,654.0,1,36.25,1,237
Others,1190.0,2,41.0,2,184
Budigere,1636.0,3,92.0,3,56
Hennur Road,1195.0,2,73.0,2,99
Others,1250.0,2,67.0,2,184
Whitefield,1452.0,3,90.0,3,235
Thanisandra,1546.0,3,95.0,3,219
Others,2260.0,3,80.0,2,184
Others,2700.0,3,90.0,4,184
JP Nagar,3000.0,3,150.0,4,113
Others,375.0,1,26.0,1,184
Balagere,1007.0,2,66.0,2,29
Hennur Road,1020.0,2,47.0,2,99
Others,800.0,3,59.5,2,184
Marathahalli,1125.0,2,55.0,2,165
Others,909.0,2,43.0,3,184
Others,1400.0,2,85.0,2,184
Kadugodi,1152.0,2,61.0,2,121
Subramanyapura,958.0,2,34.49,2,215
Bellandur,1310.0,2,85.0,2,44
Hosur Road,1590.0,2,126.0,3,107
Green Glen Layout,1645.0,3,110.0,3,86
Others,1800.0,2,100.0,3,184
Thanisandra,1087.0,1,38.535,1,219
Others,925.0,2,70.0,2,184
Basavangudi,1542.14,3,120.0,3,39
Thanisandra,1430.0,2,54.0,3,219
Bommanahalli,1020.0,2,55.0,2,51
Electronic City Phase II,1140.0,2,32.92,2,78
Anekal,967.0,2,45.0,3,19
Others,850.0,1,35.5,2,184
Others,1100.0,2,32.0,2,184
Thanisandra,1697.0,3,110.0,3,219
Varthur,1250.0,2,47.0,2,227
Gottigere,1120.0,2,50.0,2,85
NRI Layout,1200.0,4,95.0,4,173
Hennur Road,5100.0,6,375.0,5,99
Hebbal,1200.0,2,52.0,2,95
 Devarachikkanahalli,1417.0,2,76.0,3,0
Thanisandra,1492.0,3,88.0,3,219
Devanahalli,1498.0,3,79.15,3,69
Kundalahalli,1010.0,2,48.27,2,154
Channasandra,1050.0,2,35.0,2,60
Hegde Nagar,1847.0,3,125.0,3,97
Bellandur,982.0,2,37.28,2,44
Hegde Nagar,2144.6,4,145.0,3,97
Kengeri,750.0,2,36.5,2,139
Electronic City,919.0,2,35.0,2,77
Budigere,1087.0,2,54.3,2,56
Others,1480.0,3,74.0,3,184
Tindlu,1180.0,2,52.0,2,223
Jigani,1221.0,3,65.0,3,117
Thanisandra,2072.0,3,122.0,3,219
Whitefield,1600.0,3,69.0,3,235
Sahakara Nagar,2200.0,3,98.0,3,200
Kaikondrahalli,1253.0,2,81.5,2,124
Hennur Road,1061.0,2,54.92,2,99
Marathahalli,1950.0,3,115.0,3,165
Marathahalli,1250.0,2,68.0,2,165
Hennur Road,1585.0,2,80.0,3,99
Kammasandra,1015.0,2,37.0,2,129
Marathahalli,1125.0,2,56.8,2,165
Electronic City Phase II,1116.0,2,40.0,2,78
Kasavanhalli,4000.0,4,325.0,4,134
Old Madras Road,1300.0,2,100.0,2,183
Raja Rajeshwari Nagar,1419.0,2,60.42,2,194
Others,1310.0,2,55.0,3,184
Thigalarapalya,2072.0,4,152.0,3,220
Kaggadasapura,1240.0,2,58.58,2,122
Chamrajpet,1565.0,3,98.91,3,58
Budigere,1820.0,3,89.0,3,56
Gubbalala,2500.0,3,88.0,3,87
Hosa Road,1245.0,2,62.0,2,104
GM Palaya,1315.0,3,65.0,3,81
Kenchenahalli,1410.0,2,73.0,3,138
Dasarahalli,1375.0,2,60.0,2,68
Old Madras Road,1299.0,2,95.0,2,183
Others,993.0,2,45.5,2,184
Bommasandra Industrial Area,1200.0,3,45.0,2,53
Others,2400.0,5,180.0,4,184
Hoodi,1655.0,3,131.0,3,100
Whitefield,2830.0,5,190.0,4,235
Others,6000.0,1,276.0,1,184
Others,825.0,2,40.0,1,184
Begur Road,1634.0,3,111.0,3,43
Banaswadi,1222.0,2,80.0,2,35
Gottigere,1500.0,3,63.0,3,85
Akshaya Nagar,1890.0,4,100.0,3,13
Hulimavu,850.0,1,39.5,2,108
Whitefield,1295.0,2,78.5,2,235
Sarjapur  Road,1320.0,2,100.0,2,204
2nd Stage Nagarbhavi,3000.0,3,170.0,4,4
Harlur,1197.0,2,82.0,2,94
Others,1320.0,2,60.0,3,184
Whitefield,840.0,1,57.6,1,235
Raja Rajeshwari Nagar,1693.0,3,71.38,3,194
Kodihalli,1000.0,2,62.0,2,145
Babusapalaya,1305.0,2,70.0,2,27
Kodichikkanahalli,450.0,1,18.0,1,142
CV Raman Nagar,705.0,1,57.0,1,57
Tumkur Road,4800.0,5,150.0,5,224
Whitefield,1991.0,3,104.0,3,235
Battarahalli,1779.0,3,90.0,3,41
Banaswadi,870.0,2,38.0,2,35
Thanisandra,1595.0,3,120.0,3,219
Iblur Village,2000.0,4,138.0,3,111
Yelahanka,1614.0,3,93.0,3,237
Gottigere,1200.0,2,40.0,2,85
Electronic City Phase II,1150.0,3,46.0,3,78
Sonnenahalli,1610.0,3,80.48,3,214
Whitefield,1190.0,2,41.0,2,235
7th Phase JP Nagar,1460.0,2,97.0,3,8
Others,600.0,1,33.0,1,184
Others,1569.0,3,70.0,3,184
Others,2600.0,3,147.0,3,184
Electronics City Phase 1,645.0,1,42.5,1,79
Marathahalli,1350.0,2,90.0,2,165
Whitefield,1109.0,2,35.47,2,235
Bannerghatta Road,1215.0,2,68.0,2,38
Varthur Road,1255.0,2,52.76,2,228
Others,1020.0,2,49.0,2,184
Others,1225.0,2,82.0,3,184
Singasandra,1120.0,2,60.0,2,211
Kasavanhalli,1225.0,2,69.0,3,134
Whitefield,5200.0,5,242.0,4,235
Sarjapur  Road,1984.0,4,145.0,3,204
Old Madras Road,2425.0,3,197.0,3,183
Bommasandra,1127.0,2,45.0,2,52
Whitefield,1655.0,3,97.0,3,235
Varthur,1200.0,3,68.38,3,227
Kaggadasapura,1000.0,2,43.0,2,122
CV Raman Nagar,1225.0,2,47.88,2,57
Hormavu,1350.0,2,45.0,2,103
Sahakara Nagar,1175.0,2,49.0,2,200
Others,655.0,1,27.0,1,184
Hosa Road,1311.0,2,84.86,3,104
CV Raman Nagar,1000.0,2,38.5,2,57
Others,1196.0,2,96.0,2,184
Kanakpura Road,1050.0,2,59.0,3,131
Somasundara Palya,1275.0,2,52.0,3,212
Others,927.0,2,50.0,2,184
Varthur,1520.0,2,61.0,3,227
Hebbal,1333.0,2,104.0,2,95
Others,600.0,1,18.0,1,184
Sarjapur  Road,2582.5,2,85.125,3,204
Koramangala,1100.0,2,85.0,2,148
Haralur Road,1650.0,3,100.0,3,93
Kasavanhalli,1917.0,3,132.0,3,134
Billekahalli,950.0,2,58.11,2,48
Others,1175.0,2,48.72,2,184
8th Phase JP Nagar,1089.0,2,43.55,2,9
Hoodi,1257.0,2,68.5,2,100
Sarjapur,650.0,1,19.87,1,203
Whitefield,1850.0,3,150.0,3,235
Others,2800.0,4,200.0,4,184
Vidyaranyapura,945.0,2,40.0,2,230
Koramangala,1161.0,2,63.85,2,148
Banashankari Stage V,1630.0,3,51.35,3,33
Jalahalli,1310.0,2,60.0,3,115
Others,750.0,2,28.0,2,184
Whitefield,1200.0,3,67.77,3,235
Old Madras Road,4000.0,4,225.0,4,183
Nagavara,1315.0,2,70.0,2,176
Sahakara Nagar,1370.0,2,90.0,3,200
Bellandur,1465.0,3,90.0,2,44
Padmanabhanagar,1250.0,2,70.0,3,185
Horamavu Agara,1284.0,2,75.0,3,101
Hebbal,2600.0,3,199.0,3,95
Haralur Road,1580.0,3,73.0,3,93
Akshaya Nagar,2650.0,3,125.0,3,13
Uttarahalli,1075.0,2,40.0,2,226
R.T. Nagar,1400.0,2,78.0,3,192
Subramanyapura,1400.0,2,55.0,3,215
Bisuvanahalli,845.0,2,30.0,2,50
Gunjur,1175.0,2,43.48,2,88
Bellandur,1767.0,3,109.0,3,44
Sarjapur  Road,1800.0,3,90.0,4,204
Whitefield,1290.0,2,90.0,2,235
Kasavanhalli,1375.0,2,78.0,2,134
Others,985.0,2,57.0,2,184
Singasandra,1099.0,2,37.5,2,211
Marathahalli,1200.0,2,53.0,2,165
Hulimavu,1000.0,2,45.0,2,108
Electronic City,1159.0,2,38.0,3,77
BTM Layout,1540.0,2,78.0,3,26
Others,1503.0,2,93.0,3,184
Ambedkar Nagar,1850.0,4,120.0,3,15
Uttarahalli,1580.0,3,60.0,3,226
Mico Layout,1190.0,2,39.25,2,168
Others,1200.0,2,61.0,2,184
Others,1500.0,2,52.0,3,184
Thanisandra,1880.0,3,120.0,3,219
Padmanabhanagar,1150.0,2,45.0,2,185
Kasavanhalli,4408.0,4,344.0,4,134
Sarjapur  Road,7800.0,6,385.0,5,204
Others,1765.0,3,77.27,3,184
Bannerghatta Road,1894.0,3,115.0,3,38
Sector 7 HSR Layout,1760.0,3,142.0,3,207
Others,1768.0,3,95.0,3,184
Kothanur,1790.0,3,97.0,3,150
Kengeri,2540.0,4,160.0,4,139
Mahadevpura,1137.0,2,53.4,2,160
Jakkur,4305.905,2,229.0,4,114
Mysore Road,1568.0,2,100.0,3,171
Devanahalli,7370.0,4,393.5,4,69
AECS Layout,1308.0,2,60.0,2,11
Bisuvanahalli,1200.0,2,41.0,3,50
Others,800.0,1,32.0,1,184
Subramanyapura,958.0,2,33.53,2,215
Talaghattapura,2273.0,3,159.0,3,218
Thanisandra,760.0,1,50.0,1,219
Dommasandra,1090.0,2,43.5,2,75
Sarjapur  Road,1550.0,2,89.0,3,204
Ramagondanahalli,1251.0,2,50.0,2,197
Electronic City,1070.0,2,53.0,2,77
Kalena Agrahara,1200.0,2,45.0,2,125
CV Raman Nagar,1435.0,2,60.0,3,57
Bommasandra,1400.0,2,45.0,3,52
Judicial Layout,2330.0,3,94.71,4,118
Thanisandra,1200.0,2,60.0,2,219
Panathur,1000.0,2,40.0,2,187
Bannerghatta Road,1655.0,2,62.89,3,38
Others,600.0,1,35.0,1,184
Electronics City Phase 1,1175.0,2,50.0,2,79
Uttarahalli,1155.0,2,40.43,2,226
Magadi Road,1200.0,3,98.0,3,159
Budigere,1149.0,2,65.0,2,56
Jakkur,2550.0,2,98.485,3,114
Others,1010.0,2,55.0,2,184
Hegde Nagar,1718.0,3,119.0,3,97
Others,650.0,1,20.0,2,184
Banashankari,1330.0,2,77.0,2,30
Hormavu,1200.0,2,68.0,2,103
Bannerghatta Road,1693.0,3,89.0,3,38
Thanisandra,1800.0,4,125.0,3,219
Margondanahalli,900.0,2,55.0,2,166
NGR Layout,1020.0,2,46.0,2,172
Amruthahalli,1700.0,3,77.0,3,16
Panathur,661.0,1,40.0,1,187
Bannerghatta Road,1280.0,2,60.16,2,38
Hosur Road,1170.0,2,48.0,2,107
Thanisandra,933.0,2,58.0,1,219
Sarjapur  Road,1150.0,2,44.0,2,204
Banjara Layout,1050.0,2,64.8,2,36
Others,1080.0,2,37.8,2,184
Harlur,1303.0,2,90.0,2,94
Raja Rajeshwari Nagar,1196.0,2,40.54,2,194
Nagarbhavi,2500.0,3,180.0,5,174
Bommanahalli,1250.0,3,41.0,3,51
Akshaya Nagar,1419.0,2,87.0,3,13
Banashankari,1200.0,2,49.0,2,30
7th Phase JP Nagar,1120.0,2,65.0,2,8
Electronics City Phase 1,1140.0,1,45.4,1,79
Electronics City Phase 1,1245.0,2,75.0,2,79
Channasandra,1093.0,2,34.0,2,60
